Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,17/05/2020,Ruh Brest,Smolevichi,a2U6F000002L7xGUAS,a2U6F000002L7xCUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,17/05/2020,Dinamo Minsk,Isloch,a2U6F000002L7xMUAS,a2U6F000002L7xbUAC,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,17/05/2020,Belshina,Vitebsk,a2U6F000002L7xVUAS,a2U6F000002L7xQUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,17/07/2020,Gorodeya,Belshina,a2U6F000002L7xaUAC,a2U6F000002L7xVUAS,Belarus,2,1,3,1,0,0,0,0,2,1,3,1
,,,,,,,,,,,17/07/2020,Slutsk,Isloch,a2U6F000002L7xLUAS,a2U6F000002L7xbUAC,Belarus,2,1,3,1,0,1,1,-1,2,0,2,2
,,,,,,,,,,,18/04/2020,Bate Borisov,Belaz Zhodino,a2U6F000002L7xFUAS,a2U6F000002L7xDUAS,Belarus,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,18/04/2020,Vitebsk,Dinamo Brest,a2U6F000002L7xQUAS,a2U6F000002L7xXUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,18/04/2020,Ruh Brest,Minsk,a2U6F000002L7xGUAS,a2U6F000002L7xBUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,18/04/2020,Isloch,Slavia Mozyr,a2U6F000002L7xbUAC,a2U6F000002L7xRUAS,Belarus,2,1,3,1,0,0,0,0,2,1,3,1
,,,,,,,,,,,18/07/2020,Ruh Brest,Bate Borisov,a2U6F000002L7xGUAS,a2U6F000002L7xFUAS,Belarus,0,3,3,-3,0,3,3,-3,0,0,0,0
,,,,,,,,,,,18/07/2020,Vitebsk,Smolevichi,a2U6F000002L7xQUAS,a2U6F000002L7xCUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,18/09/2020,Neman,Minsk,a2U6F000002L7xYUAS,a2U6F000002L7xBUAS,Belarus,2,0,2,2,2,0,2,2,0,0,0,0
,,,,,,,,,,,18/09/2020,Smolevichi,Ruh Brest,a2U6F000002L7xCUAS,a2U6F000002L7xGUAS,Belarus,0,6,6,-6,0,2,2,-2,0,4,4,-4
